======================================================================
Total cycles: 105068

Exclusive elapsed times for each method, not including time spent in
children, sorted by exclusive time.

    Usecs  self %  sum %  Method
                 1.2%   excl                      10
                98.8%  [181]      1/1            792 android/content/pm/ProviderInfo$1.createFromParcel (Landroid/os/Parcel;)Landroid/content/pm/ProviderInfo;
----------------------------------------------------
               100.0%  [180]      1/1            792 android/content/pm/ProviderInfo$1.createFromParcel (Landroid/os/Parcel;)Ljava/lang/Object;
[181]    0.8%                     1+0            792 android/content/pm/ProviderInfo$1.createFromParcel (Landroid/os/Parcel;)Landroid/content/pm/ProviderInfo;
                 1.5%   excl                      12
                98.5%  [183]      1/1            780 android/content/pm/ProviderInfo.<init> (Landroid/os/Parcel;Landroid/content/pm/ProviderInfo$1;)V
----------------------------------------------------
               100.0%  [105]      1/1            787 android/view/ViewConfiguration.get (Landroid/content/Context;)Landroid/view/ViewConfiguration;
[182]    0.7%                     1+0            787 android/view/ViewConfiguration.<init> (Landroid/content/Context;)V
                10.4%   excl                      82
                30.1%  [345]      1/1            237 android/view/IWindowManager$Stub$Proxy.hasSystemNavBar ()Z
                21.6%  [403]      1/1            170 android/view/IWindowManager$Stub$Proxy.hasNavigationBar ()Z
                11.2%  [500]      1/1             88 android/view/WindowManagerImpl.getDefaultDisplay ()Landroid/view/Display;
                 8.0%  [305]      1/4             63 android/content/res/Resources.getDimensionPixelSize (I)I
                 6.6%  [404]      1/3             52 android/content/res/Resources.getBoolean (I)Z
                 4.8%  [614]      1/1             38 android/content/res/Resources.getConfiguration ()Landroid/content/res/Configuration;
                 2.4%  [716]      1/1             19 android/view/Display.getRawWidth ()I
                 1.4%  [795]      1/1             11 android/view/Display.getRawHeight ()I
                 1.3%  [241]      1/54            10 android/content/ContextWrapper.getResources ()Landroid/content/res/Resources;
                 0.6%  [874]      1/1              5 android/content/res/Configuration.isLayoutSizeAtLeast (I)Z
                 0.5%  [371]      1/65             4 android/content/res/Resources.getDisplayMetrics ()Landroid/util/DisplayMetrics;
                 0.5%  [898]      1/1              4 android/view/Display.getWindowManager ()Landroid/view/IWindowManager;
                 0.5%  [904]      1/1              4 android/view/WindowManagerImpl.getDefault ()Landroid/view/WindowManagerImpl;
----------------------------------------------------
               100.0%  [181]      1/1            780 android/content/pm/ProviderInfo$1.createFromParcel (Landroid/os/Parcel;)Landroid/content/pm/ProviderInfo;
[183]    0.7%                     1+0            780 android/content/pm/ProviderInfo.<init> (Landroid/os/Parcel;Landroid/content/pm/ProviderInfo$1;)V
                 0.9%   excl                       7
                99.1%  [185]      1/1            773 android/content/pm/ProviderInfo.<init> (Landroid/os/Parcel;)V
----------------------------------------------------
               100.0%  [170]      3/3            778 com/android/internal/widget/ActionBarView.generateLayoutParams (Landroid/util/AttributeSet;)Landroid/view/ViewGroup$LayoutParams;
[184]    0.7%                     3+0            778 android/app/ActionBar$LayoutParams.<init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
                26.9%   excl                     209
                48.7%   [68]      3/18           379 android/view/ViewGroup$MarginLayoutParams.<init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
                22.1%   [65]      3/50           172 android/content/Context.obtainStyledAttributes (Landroid/util/AttributeSet;[I)Landroid/content/res/TypedArray;
                 1.2%  [368]      3/68             9 android/content/res/TypedArray.getInt (II)I
                 1.2%  [294]      3/98             9 android/content/res/TypedArray.recycle ()V
----------------------------------------------------
               100.0%  [183]      1/1            773 android/content/pm/ProviderInfo.<init> (Landroid/os/Parcel;Landroid/content/pm/ProviderInfo$1;)V
[185]    0.7%                     1+0            773 android/content/pm/ProviderInfo.<init> (Landroid/os/Parcel;)V
                 6.3%   excl                      49
                81.4%   [83]      1/3            629 android/content/pm/ComponentInfo.<init> (Landroid/os/Parcel;)V
                 4.9%  [176]      3/63            38 android/os/Parcel.readString ()Ljava/lang/String;
                 3.8%  [145]      4/124           29 android/os/Parcel.readInt ()I
                 3.6%  [661]      2/2             28 android/os/Parcel.createTypedArray (Landroid/os/Parcelable$Creator;)[Ljava/lang/Object;
----------------------------------------------------
               100.0%   [22]      3/3            754 android/widget/TextView.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
[186]    0.7%                     3+0            754 android/widget/TextView$IClipboardDataPasteEventImpl.<init> (Landroid/widget/TextView;)V
                 8.4%   excl                      63
                65.6%   [57]      1/14           495 dalvik/system/VMDebug.startClassPrep ()V
                26.0%  [380]      3/3            196 android/widget/TextView$IClipboardDataPasteEventImpl$1.<init> (Landroid/widget/TextView$IClipboardDataPasteEventImpl;)V
----------------------------------------------------
                77.9%    [3]      4/5            584 com/android/internal/policy/impl/PhoneWindow.installDecor ()V
                22.1%    [7]      1/5            166 com/android/internal/policy/impl/PhoneWindow.generateLayout (Lcom/android/internal/policy/impl/PhoneWindow$DecorView;)Landroid/view/ViewGroup;
[187]    0.7%                     5+0            750 android/view/Window.findViewById (I)Landroid/view/View;
                 7.5%   excl                      56
                90.5%   [93]      5/170          679 android/view/View.findViewById (I)Landroid/view/View;
                 2.0%  [704]      5/7             15 com/android/internal/policy/impl/PhoneWindow.getDecorView ()Landroid/view/View;
----------------------------------------------------
               100.0%   [42]      1/1            740 android/provider/Settings$NameValueCache.getString (Landroid/content/ContentResolver;Ljava/lang/String;)Ljava/lang/String;
[188]    0.7%                     1+0            740 android/content/ContentProviderProxy.call (Ljava/lang/String;Ljava/lang/String;Landroid/os/Bundle;)Landroid/os/Bundle;
                21.9%   excl                     162
                36.2%  [270]      1/7            268 android/os/Parcel.readBundle ()Landroid/os/Bundle;
                16.2%  [135]      1/12           120 android/os/BinderProxy.transact (ILandroid/os/Parcel;Landroid/os/Parcel;I)Z
                 6.9%  [264]      1/12            51 android/os/Parcel.writeInterfaceToken (Ljava/lang/String;)V
                 6.1%  [591]      1/1             45 android/database/DatabaseUtils.readExceptionFromParcel (Landroid/os/Parcel;)V
                 5.1%  [376]      2/11            38 android/os/Parcel.writeString (Ljava/lang/String;)V
                 4.5%  [230]      2/25            33 android/os/Parcel.recycle ()V
                 2.2%  [738]      1/1             16 android/os/Parcel.writeBundle (Landroid/os/Bundle;)V
                 0.9%  [386]      2/25             7 android/os/Parcel.obtain ()Landroid/os/Parcel;
----------------------------------------------------
                74.4%   [22]      3/5            546 android/widget/TextView.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
                25.6%  [138]      2/5            188 android/widget/TextView.setTextAppearance (Landroid/content/Context;I)V
[189]    0.7%                     5+0            734 android/widget/TextView.setTextColor (Landroid/content/res/ColorStateList;)V
                11.9%   excl                      87
                88.1%  [125]      5/15           647 android/widget/TextView.updateTextColors ()V
----------------------------------------------------
                99.4%   [28]      1/2            720 android/app/ApplicationPackageManager.getDrawable (Ljava/lang/String;ILandroid/content/pm/ApplicationInfo;)Landroid/graphics/drawable/Drawable;
                 0.6%   [20]      1/2              4 android/content/res/Resources.loadDrawable (Landroid/util/TypedValue;I)Landroid/graphics/drawable/Drawable;
[190]    0.7%                     2+0            724 android/sec/enterprise/EnterpriseDeviceManager.getApplicationPolicy ()Landroid/sec/enterprise/ApplicationPolicy;
                96.5%   excl                     699
                 2.9%  [701]      1/1             21 android/sec/enterprise/ApplicationPolicy.<clinit> ()V
                 0.6%  [893]      1/1              4 android/sec/enterprise/ApplicationPolicy.<init> ()V
----------------------------------------------------
                33.3%  [125]     11/34           237 android/widget/TextView.updateTextColors ()V
                19.7%  [322]      6/34           140 android/widget/TextView.setPadding (IIII)V
                10.4%  [453]      3/34            74 android/widget/TextView.setCompoundDrawables (Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;)V
                 9.3%  [263]      4/34            66 android/widget/ImageView.setImageDrawable (Landroid/graphics/drawable/Drawable;)V
                 7.0%  [484]      3/34            50 android/widget/TextView.setCompoundDrawablePadding (I)V
                 5.8%  [564]      2/34            41 android/widget/ImageView.invalidateDrawable (Landroid/graphics/drawable/Drawable;)V
                 4.8%  [555]      2/34            34 android/widget/TextView.setLines (I)V
                 3.4%  [422]      1/34            24 android/widget/FrameLayout.setForeground (Landroid/graphics/drawable/Drawable;)V
                 3.4%  [433]      1/34            24 com/android/internal/policy/impl/PhoneWindow$DecorView.drawableChanged ()V
                 3.1%   [16]      1/34            22 com/android/internal/widget/ActionBarView.setDisplayOptions (I)V
[191]    0.7%                    34+0            712 android/view/View.invalidate ()V
                29.8%   excl                     212
                70.2%  [129]     34/85           500 android/view/View.invalidate (Z)V
----------------------------------------------------
               100.0%  [171]      1/1            703 android/app/Activity.onCreate (Landroid/os/Bundle;)V
[192]    0.7%                     1+0            703 android/graphics/Typeface.SetAppTypeFace (Ljava/lang/String;)V
                 1.4%   excl                      10
                98.3%  [197]      1/1            691 android/graphics/Typeface.SetFlipFonts ()V
                 0.3%  [950]      1/1              2 android/graphics/Typeface.isAppInFlipList (Ljava/lang/String;)Z
----------------------------------------------------
               100.0%   [55]      4/4            695 android/graphics/drawable/DrawableContainer$DrawableContainerState.<init> (Landroid/graphics/drawable/DrawableContainer$DrawableContainerState;Landroid/graphics/drawable/DrawableContainer;Landroid/content/res/Resources;)V
[193]    0.7%                     4+0            695 android/graphics/drawable/ColorDrawable$ColorState.newDrawable (Landroid/content/res/Resources;)Landroid/graphics/drawable/Drawable;
                 5.2%   excl                      36
                94.8%  [202]      4/4            659 android/graphics/drawable/ColorDrawable.<init> (Landroid/graphics/drawable/ColorDrawable$ColorState;Landroid/graphics/drawable/ColorDrawable$1;)V
----------------------------------------------------
                52.2%   [10]     10/19           363 android/view/LayoutInflater.createView (Ljava/lang/String;Ljava/lang/String;Landroid/util/AttributeSet;)Landroid/view/View;
                37.7%  [197]      6/19           262 android/graphics/Typeface.SetFlipFonts ()V
                10.1%  [430]      3/19            70 java/util/Locale.toNewString ()Ljava/lang/String;
[194]    0.7%                    19+0            695 java/lang/StringBuilder.append (Ljava/lang/String;)Ljava/lang/StringBuilder;
                16.8%   excl                     117
                83.2%  [224]     19/19           578 java/lang/AbstractStringBuilder.append0 (Ljava/lang/String;)V
----------------------------------------------------
                99.1%    [7]      1/3            688 com/android/internal/policy/impl/PhoneWindow.generateLayout (Lcom/android/internal/policy/impl/PhoneWindow$DecorView;)Landroid/view/ViewGroup;
                 0.4%    [3]      1/3              3 com/android/internal/policy/impl/PhoneWindow.installDecor ()V
                 0.4%  [306]      1/3              3 com/android/internal/policy/impl/multiwindow/MultiPhoneWindowEvent.needsMultiWindowDecor (Landroid/view/Window;)Z
[195]    0.7%                     3+0            694 android/view/Window.getWindowStyle ()Landroid/content/res/TypedArray;
                72.0%   excl                     500
                28.0%  [381]      1/1            194 android/content/Context.obtainStyledAttributes ([I)Landroid/content/res/TypedArray;
----------------------------------------------------
                51.9%   [37]     20/40           360 android/provider/Settings$System.getString (Landroid/content/ContentResolver;Ljava/lang/String;)Ljava/lang/String;
                48.1%   [42]     20/40           334 android/provider/Settings$NameValueCache.getString (Landroid/content/ContentResolver;Ljava/lang/String;)Ljava/lang/String;
[196]    0.7%                    40+0            694 java/util/HashSet.contains (Ljava/lang/Object;)Z
                39.2%   excl                     272
                60.8%  [215]     40/60           422 java/util/HashMap.containsKey (Ljava/lang/Object;)Z
----------------------------------------------------
               100.0%  [192]      1/1            691 android/graphics/Typeface.SetAppTypeFace (Ljava/lang/String;)V
[197]    0.7%                     1+0            691 android/graphics/Typeface.SetFlipFonts ()V
                 7.5%   excl                      52
                43.7%  [316]      1/1            302 android/graphics/Typeface.getFontPathFlipFont (I)Ljava/lang/String;
                37.9%  [194]      6/19           262 java/lang/StringBuilder.append (Ljava/lang/String;)Ljava/lang/StringBuilder;
                 5.4%  [428]      2/8             37 java/lang/StringBuilder.toString ()Ljava/lang/String;
                 3.0%  [517]      2/7             21 java/lang/StringBuilder.<init> ()V
                 1.6%  [637]      1/3             11 java/lang/String.endsWith (Ljava/lang/String;)Z
                 0.9%  [282]      1/118            6 java/lang/String.equals (Ljava/lang/Object;)Z
----------------------------------------------------
                69.1%   [19]      9/12           477 android/view/ViewGroup.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
                15.9%   [35]      1/12           110 android/view/ViewGroup.<init> (Landroid/content/Context;)V
                14.9%   [78]      2/12           103 android/view/ViewGroup.<init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
[198]    0.7%                    12+0            690 android/view/animation/Transformation.<init> ()V
                12.3%   excl                      85
                87.7%  [217]     12/12           605 android/view/animation/Transformation.clear ()V
----------------------------------------------------
                61.7%   [18]    138/224          418 android/view/View.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
                38.3%   [22]     86/224          259 android/widget/TextView.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
[199]    0.6%                   224+0            677 android/content/res/TypedArray.getIndex (I)I
               100.0%   excl                     677
----------------------------------------------------
                72.6%  [217]     12/17           490 android/view/animation/Transformation.clear ()V
                27.4%  [348]      5/17           185 android/widget/ImageView.initImageView ()V
[200]    0.6%                    17+0            675 android/graphics/Matrix.<init> ()V
                35.0%   excl                     236
                43.7%  [161]     17/54           295 java/lang/ref/FinalizerReference.add (Ljava/lang/Object;)V
                21.3%  [426]     17/17           144 android/graphics/Matrix.native_create (I)I
----------------------------------------------------
                50.9%  [165]      1/2            337 android/sec/enterprise/EnterpriseDeviceManager.getService ()Landroid/sec/enterprise/IEDMProxy;
                49.1%  [132]      1/2            325 android/view/accessibility/AccessibilityManager.getInstance (Landroid/content/Context;)Landroid/view/accessibility/AccessibilityManager;
[201]    0.6%                     2+0            662 android/os/ServiceManager.getService (Ljava/lang/String;)Landroid/os/IBinder;
                 4.1%   excl                      27
                91.4%  [216]      2/2            605 android/os/ServiceManagerProxy.getService (Ljava/lang/String;)Landroid/os/IBinder;
                 3.6%  [231]      2/45            24 java/util/HashMap.get (Ljava/lang/Object;)Ljava/lang/Object;
                 0.9%  [857]      2/2              6 android/os/ServiceManager.getIServiceManager ()Landroid/os/IServiceManager;
----------------------------------------------------
               100.0%  [193]      4/4            659 android/graphics/drawable/ColorDrawable$ColorState.newDrawable (Landroid/content/res/Resources;)Landroid/graphics/drawable/Drawable;
[202]    0.6%                     4+0            659 android/graphics/drawable/ColorDrawable.<init> (Landroid/graphics/drawable/ColorDrawable$ColorState;Landroid/graphics/drawable/ColorDrawable$1;)V
                 3.9%   excl                      26
                96.1%  [208]      4/4            633 android/graphics/drawable/ColorDrawable.<init> (Landroid/graphics/drawable/ColorDrawable$ColorState;)V
----------------------------------------------------
               100.0%  [162]     56/56           653 android/util/LongSparseArray.get (J)Ljava/lang/Object;
[203]    0.6%                    56+0            653 android/util/LongSparseArray.get (JLjava/lang/Object;)Ljava/lang/Object;
                57.9%   excl                     378
                42.1%  [302]     56/66           275 android/util/LongSparseArray.binarySearch ([JIIJ)I
----------------------------------------------------
               100.0%  [132]      1/1            647 android/view/accessibility/AccessibilityManager.getInstance (Landroid/content/Context;)Landroid/view/accessibility/AccessibilityManager;
[204]    0.6%                     1+0            647 android/view/accessibility/AccessibilityManager.<init> (Landroid/content/Context;Landroid/view/accessibility/IAccessibilityManager;)V
                 9.4%   excl                      61
                73.4%  [247]      1/1            475 android/view/accessibility/IAccessibilityManager$Stub$Proxy.addClient (Landroid/view/accessibility/IAccessibilityManagerClient;)I
                 8.3%  [563]      1/1             54 android/view/accessibility/AccessibilityManager$1.<init> (Landroid/view/accessibility/AccessibilityManager;)V
                 3.6%  [693]      1/1             23 android/view/accessibility/AccessibilityManager.setState (I)V
                 2.5%  [733]      1/1             16 android/content/ContextWrapper.getMainLooper ()Landroid/os/Looper;
                 2.2%  [762]      1/1             14 android/view/accessibility/AccessibilityManager$MyHandler.<init> (Landroid/view/accessibility/AccessibilityManager;Landroid/os/Looper;)V
                 0.6%  [910]      1/1              4 java/util/concurrent/CopyOnWriteArrayList.<init> ()V
----------------------------------------------------
                60.9%   [10]      9/14           390 android/view/LayoutInflater.createView (Ljava/lang/String;Ljava/lang/String;Landroid/util/AttributeSet;)Landroid/view/View;
                 9.7%  [487]      1/14            62 android/app/ApplicationPackageManager.putCachedIcon (Landroid/app/ApplicationPackageManager$ResourceName;Landroid/graphics/drawable/Drawable;)V
                 9.1%  [274]      1/14            58 android/app/ActivityThread.installProviderAuthoritiesLocked (Landroid/content/IContentProvider;Landroid/content/ContentProvider;Landroid/app/IActivityManager$ContentProviderHolder;)Landroid/app/ActivityThread$ProviderClientRecord;
                 8.0%  [245]      1/14            51 android/app/ActivityThread.installProvider (Landroid/content/Context;Landroid/app/IActivityManager$ContentProviderHolder;Landroid/content/pm/ProviderInfo;ZZZ)Landroid/app/IActivityManager$ContentProviderHolder;
                 6.9%  [470]      1/14            44 android/os/Parcel.readMapInternal (Ljava/util/Map;ILjava/lang/ClassLoader;)V
                 5.5%   [42]      1/14            35 android/provider/Settings$NameValueCache.getString (Landroid/content/ContentResolver;Ljava/lang/String;)Ljava/lang/String;
[205]    0.6%                    14+0            640 java/util/HashMap.put (Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;
                41.1%   excl                     263
                27.2%  [400]     14/14           174 java/util/HashMap.addNewEntry (Ljava/lang/Object;Ljava/lang/Object;II)V
                18.0%  [466]      8/8            115 java/util/HashMap.doubleCapacity ()[Ljava/util/HashMap$HashMapEntry;
                 6.6%  [601]     14/14            42 java/util/HashMap.secondaryHash (I)I
                 5.2%  [273]     12/129           33 java/lang/String.hashCode ()I
                 1.6%  [700]      1/2             10 android/app/ApplicationPackageManager$ResourceName.hashCode ()I
                 0.5%  [636]      1/10             3 java/lang/Object.hashCode ()I
----------------------------------------------------
               100.0%  [163]     58/58           639 android/util/SparseArray.get (I)Ljava/lang/Object;
[206]    0.6%                    58+0            639 android/util/SparseArray.get (ILjava/lang/Object;)Ljava/lang/Object;
                57.7%   excl                     369
                42.3%  [308]     58/66           270 android/util/SparseArray.binarySearch ([IIII)I
----------------------------------------------------
                52.8%  [125]     36/42           337 android/widget/TextView.updateTextColors ()V
                38.2%   [58]      4/42           244 android/view/View.setBackgroundDrawable (Landroid/graphics/drawable/Drawable;)V
                 8.9%  [325]      2/42            57 android/view/View.drawableStateChanged ()V
[207]    0.6%                    42+0            638 android/view/View.getDrawableState ()[I
                25.7%   excl                     164
                40.9%  [330]      6/6            261 android/view/ViewGroup.onCreateDrawableState (I)[I
                33.4%  [362]      3/3            213 android/widget/TextView.onCreateDrawableState (I)[I
----------------------------------------------------
               100.0%  [202]      4/4            633 android/graphics/drawable/ColorDrawable.<init> (Landroid/graphics/drawable/ColorDrawable$ColorState;Landroid/graphics/drawable/ColorDrawable$1;)V
[208]    0.6%                     4+0            633 android/graphics/drawable/ColorDrawable.<init> (Landroid/graphics/drawable/ColorDrawable$ColorState;)V
                10.3%   excl                      65
                79.9%  [234]      4/4            506 android/graphics/Paint.<init> ()V
                 7.4%  [579]      4/4             47 android/graphics/drawable/ColorDrawable$ColorState.<init> (Landroid/graphics/drawable/ColorDrawable$ColorState;)V
                 2.4%  [399]      4/52            15 android/graphics/drawable/Drawable.<init> ()V
----------------------------------------------------
                41.0%   [20]      6/27           259 android/content/res/Resources.loadDrawable (Landroid/util/TypedValue;I)Landroid/graphics/drawable/Drawable;
                29.7%  [120]     12/27           188 android/graphics/drawable/LayerDrawable$LayerState.<init> (Landroid/graphics/drawable/LayerDrawable$LayerState;Landroid/graphics/drawable/LayerDrawable;Landroid/content/res/Resources;)V
                29.3%   [55]      9/27           185 android/graphics/drawable/DrawableContainer$DrawableContainerState.<init> (Landroid/graphics/drawable/DrawableContainer$DrawableContainerState;Landroid/graphics/drawable/DrawableContainer;Landroid/content/res/Resources;)V
[209]    0.6%                    27+0            632 android/graphics/drawable/NinePatchDrawable.getConstantState ()Landroid/graphics/drawable/Drawable$ConstantState;
                62.8%   excl                     397
                37.2%  [347]     27/27           235 android/graphics/drawable/NinePatchDrawable.getChangingConfigurations ()I
----------------------------------------------------
               100.0%  [169]      1/1            632 java/lang/BootClassLoader.loadClass (Ljava/lang/String;Z)Ljava/lang/Class;
[210]    0.6%                     1+0            632 java/lang/BootClassLoader.findClass (Ljava/lang/String;)Ljava/lang/Class;
                 1.3%   excl                       8
                98.7%  [211]      1/1            624 java/lang/VMClassLoader.loadClass (Ljava/lang/String;Z)Ljava/lang/Class;
----------------------------------------------------
               100.0%  [210]      1/1            624 java/lang/BootClassLoader.findClass (Ljava/lang/String;)Ljava/lang/Class;
[211]    0.6%                     1+0            624 java/lang/VMClassLoader.loadClass (Ljava/lang/String;Z)Ljava/lang/Class;
                 3.4%   excl                      21
                96.6%   [57]      1/14           603 dalvik/system/VMDebug.startClassPrep ()V
----------------------------------------------------
               100.0%   [41]      2/2            621 android/graphics/drawable/Drawable.createFromResourceStream (Landroid/content/res/Resources;Landroid/util/TypedValue;Ljava/io/InputStream;Ljava/lang/String;Landroid/graphics/BitmapFactory$Options;)Landroid/graphics/drawable/Drawable;
[212]    0.6%                     2+0            621 android/graphics/drawable/Drawable.drawableFromBitmap (Landroid/content/res/Resources;Landroid/graphics/Bitmap;[BLandroid/graphics/Rect;Landroid/graphics/Rect;Ljava/lang/String;)Landroid/graphics/drawable/Drawable;
                 3.4%   excl                      21
                73.4%  [251]      1/1            456 android/graphics/drawable/BitmapDrawable.<init> (Landroid/content/res/Resources;Landroid/graphics/Bitmap;)V
                23.2%  [427]      1/1            144 android/graphics/drawable/NinePatchDrawable.<init> (Landroid/content/res/Resources;Landroid/graphics/Bitmap;[BLandroid/graphics/Rect;Landroid/graphics/Rect;Ljava/lang/String;)V
----------------------------------------------------
               100.0%  [115]     11/11           617 android/graphics/Paint.<init> (I)V
[213]    0.6%                    11+0            617 android/graphics/Paint.setTextLocale (Ljava/util/Locale;)V
                33.9%   excl                     209
                29.7%  [390]     11/11           183 java/util/Locale.toString ()Ljava/lang/String;
                29.0%  [395]     11/11           179 android/graphics/Paint.native_setTextLocale (ILjava/lang/String;)V
                 7.5%  [587]     11/11            46 java/util/Locale.equals (Ljava/lang/Object;)Z
----------------------------------------------------
                80.8%  [156]     32/39           492 android/content/res/TypedArray.getDimensionPixelSize (II)I
                10.8%  [305]      4/39            66 android/content/res/Resources.getDimensionPixelSize (I)I
                 5.4%  [588]      2/39            33 android/content/res/TypedArray.getLayoutDimension (II)I
                 3.0%  [446]      1/39            18 android/content/res/TypedArray.getLayoutDimension (ILjava/lang/String;)I
[214]    0.6%                    39+0            609 android/util/TypedValue.complexToDimensionPixelSize (ILandroid/util/DisplayMetrics;)I
                56.7%   excl                     345
                22.7%  [419]     39/41           138 android/util/TypedValue.complexToFloat (I)F
                20.7%  [436]     39/41           126 android/util/TypedValue.applyDimension (IFLandroid/util/DisplayMetrics;)F
----------------------------------------------------
                69.6%  [196]     40/60           422 java/util/HashSet.contains (Ljava/lang/Object;)Z
                30.4%   [42]     20/60           184 android/provider/Settings$NameValueCache.getString (Landroid/content/ContentResolver;Ljava/lang/String;)Ljava/lang/String;
[215]    0.6%                    60+0            606 java/util/HashMap.containsKey (Ljava/lang/Object;)Z
                70.5%   excl                     427
                29.5%  [273]     60/129          179 java/lang/String.hashCode ()I
----------------------------------------------------
               100.0%  [201]      2/2            605 android/os/ServiceManager.getService (Ljava/lang/String;)Landroid/os/IBinder;
[216]    0.6%                     2+0            605 android/os/ServiceManagerProxy.getService (Ljava/lang/String;)Landroid/os/IBinder;
                 9.1%   excl                      55
                31.7%  [269]      2/4            192 android/os/Parcel.readStrongBinder ()Landroid/os/IBinder;
                30.4%  [135]      2/12           184 android/os/BinderProxy.transact (ILandroid/os/Parcel;Landroid/os/Parcel;I)Z
                11.4%  [264]      2/12            69 android/os/Parcel.writeInterfaceToken (Ljava/lang/String;)V
                10.6%  [230]      4/25            64 android/os/Parcel.recycle ()V
                 4.6%  [376]      2/11            28 android/os/Parcel.writeString (Ljava/lang/String;)V
                 2.1%  [386]      4/25            13 android/os/Parcel.obtain ()Landroid/os/Parcel;
----------------------------------------------------
               100.0%  [198]     12/12           605 android/view/animation/Transformation.<init> ()V
[217]    0.6%                    12+0            605 android/view/animation/Transformation.clear ()V
                19.0%   excl                     115
                81.0%  [200]     12/17           490 android/graphics/Matrix.<init> ()V
----------------------------------------------------
                74.0%  [174]     50/66           444 android/graphics/drawable/Drawable.setCallback (Landroid/graphics/drawable/Drawable$Callback;)V
                18.0%   [20]     10/66           108 android/content/res/Resources.loadDrawable (Landroid/util/TypedValue;I)Landroid/graphics/drawable/Drawable;
                 4.8%  [414]      4/66            29 android/os/BinderProxy.<init> ()V
                 1.7%  [487]      1/66            10 android/app/ApplicationPackageManager.putCachedIcon (Landroid/app/ApplicationPackageManager$ResourceName;Landroid/graphics/drawable/Drawable;)V
                 1.5%  [285]      1/66             9 android/content/res/ColorStateList.valueOf (I)Landroid/content/res/ColorStateList;
[218]    0.6%                    66+0            600 java/lang/ref/WeakReference.<init> (Ljava/lang/Object;)V
                63.2%   excl                     379
                36.8%  [268]     66/120          221 java/lang/ref/Reference.<init> (Ljava/lang/Object;Ljava/lang/ref/ReferenceQueue;)V
----------------------------------------------------
                50.8%  [227]     19/37           304 android/view/View.hasRtlSupport ()Z
                32.9%   [77]     12/37           197 android/view/ViewGroup.initViewGroup ()V
                 8.2%    [7]      3/37            49 com/android/internal/policy/impl/PhoneWindow.generateLayout (Lcom/android/internal/policy/impl/PhoneWindow$DecorView;)Landroid/view/ViewGroup;
                 3.0%  [678]      1/37            18 com/android/internal/view/ActionBarPolicy.enableHomeButtonByDefault ()Z
                 2.7%   [13]      1/37            16 com/android/internal/widget/ActionBarView.<init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
                 2.3%  [488]      1/37            14 com/android/internal/view/ActionBarPolicy.hasEmbeddedTabs ()Z
[219]    0.6%                    37+0            598 android/content/ContextWrapper.getApplicationInfo ()Landroid/content/pm/ApplicationInfo;
                38.1%   excl                     228
                61.9%  [278]     37/37           370 android/app/ContextImpl.getApplicationInfo ()Landroid/content/pm/ApplicationInfo;
----------------------------------------------------
                61.3%   [58]      4/16           362 android/view/View.setBackgroundDrawable (Landroid/graphics/drawable/Drawable;)V
                31.6%  [325]      2/16           187 android/view/View.drawableStateChanged ()V
                 7.1%  [236]      4/16            42 android/graphics/drawable/DrawableContainer.selectDrawable (I)Z
               +++++++++++++++++++++++++
                       [471]      6/16            79 android/graphics/drawable/DrawableContainer.onStateChange ([I)Z
[220]    0.6%                    10+6            591 android/graphics/drawable/Drawable.setState ([I)Z
                15.4%   excl                      91
                76.6%  [150]      6/10           453 android/graphics/drawable/StateListDrawable.onStateChange ([I)Z
                 8.0%  [547]     10/16            47 java/util/Arrays.equals ([I[I)Z
               +++++++++++++++++++++++++
                       [547]      6/16            15 java/util/Arrays.equals ([I[I)Z
                       [754]      6/6             14 android/graphics/drawable/Drawable.onStateChange ([I)Z
----------------------------------------------------
                69.4%   [58]      9/11           410 android/view/View.setBackgroundDrawable (Landroid/graphics/drawable/Drawable;)V
                25.0%  [276]      1/11           148 android/view/ViewRootImpl.getRunQueue ()Landroid/view/ViewRootImpl$RunQueue;
                 5.6%  [610]      1/11            33 android/os/Looper.myLooper ()Landroid/os/Looper;
[221]    0.6%                    11+0            591 java/lang/ThreadLocal.get ()Ljava/lang/Object;
                31.6%   excl                     187
                33.8%  [374]      2/2            200 java/lang/ThreadLocal$Values.getAfterMiss (Ljava/lang/ThreadLocal;)Ljava/lang/Object;
                19.0%  [443]     11/13           112 java/lang/Thread.currentThread ()Ljava/lang/Thread;
                 5.8%  [630]     11/11            34 java/lang/ThreadLocal$Values.access$000 (Ljava/lang/ThreadLocal$Values;)[Ljava/lang/Object;
                 5.1%  [622]     11/13            30 java/lang/ThreadLocal.values (Ljava/lang/Thread;)Ljava/lang/ThreadLocal$Values;
