======================================================================
Total cycles: 105068

Exclusive elapsed times for each method, not including time spent in
children, sorted by exclusive time.

    Usecs  self %  sum %  Method
      377    0.36  48.95  [12] java/lang/reflect/Constructor.constructNative ([Ljava/lang/Object;Ljava/lang/Class;[Ljava/lang/Class;IZ)Ljava/lang/Object;
      369    0.35  49.30  [206] android/util/SparseArray.get (ILjava/lang/Object;)Ljava/lang/Object;
      368    0.35  49.65  [282] java/lang/String.equals (Ljava/lang/Object;)Z
      367    0.35  50.00  [13] com/android/internal/widget/ActionBarView.<init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
      355    0.34  50.34  [132] android/view/accessibility/AccessibilityManager.getInstance (Landroid/content/Context;)Landroid/view/accessibility/AccessibilityManager;
      354    0.34  50.67  [231] java/util/HashMap.get (Ljava/lang/Object;)Ljava/lang/Object;
      353    0.34  51.01  [61] android/content/Context.obtainStyledAttributes (Landroid/util/AttributeSet;[III)Landroid/content/res/TypedArray;
      345    0.33  51.34  [214] android/util/TypedValue.complexToDimensionPixelSize (ILandroid/util/DisplayMetrics;)I
      343    0.33  51.67  [32] com/android/internal/policy/impl/PhoneWindow$DecorView.<init> (Lcom/android/internal/policy/impl/PhoneWindow;Landroid/content/Context;I)V
      339    0.32  51.99  [293] android/util/StateSet.stateSetMatches ([I[I)Z
      336    0.32  52.31  [294] android/content/res/TypedArray.recycle ()V
      335    0.32  52.63  [163] android/util/SparseArray.get (I)Ljava/lang/Object;
      333    0.32  52.94  [283] android/net/Uri.decode (Ljava/lang/String;)Ljava/lang/String;
      333    0.32  53.26  [298] android/os/Parcel.nativeWriteInterfaceToken (ILjava/lang/String;)V
      332    0.32  53.58  [241] android/content/ContextWrapper.getResources ()Landroid/content/res/Resources;
      332    0.32  53.89  [162] android/util/LongSparseArray.get (J)Ljava/lang/Object;
      329    0.31  54.21  [33] com/android/internal/widget/ActionBarContainer.<init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
      325    0.31  54.52  [302] android/util/LongSparseArray.binarySearch ([JIIJ)I
      324    0.31  54.82  [115] android/graphics/Paint.<init> (I)V
